GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Darts,hu.unideb.inf.darts,FXMLOptions.new ChangeListener() {...},22,0,2,0,4,0,3,0,2,0
Darts,hu.unideb.inf.darts,ManagerImpl,204,673,21,61,40,170,21,40,2,18
Darts,hu.unideb.inf.darts,FXMLOptions.new ChangeListener() {...},22,0,2,0,4,0,3,0,2,0
Darts,hu.unideb.inf.darts,Users,13,0,0,0,6,0,3,0,3,0
Darts,hu.unideb.inf.darts,FXMLOptions.new ChangeListener() {...},22,0,2,0,4,0,3,0,2,0
Darts,hu.unideb.inf.darts,Login,257,0,26,0,58,0,18,0,5,0
Darts,hu.unideb.inf.darts,CreateFolder,120,0,4,0,23,0,7,0,5,0
Darts,hu.unideb.inf.darts,FXMLStart,67,0,0,0,17,0,3,0,3,0
Darts,hu.unideb.inf.darts,Registration,146,0,8,0,34,0,9,0,5,0
Darts,hu.unideb.inf.darts,Darts,44,43,0,0,7,18,2,9,2,9
Darts,hu.unideb.inf.darts,FXMLRegistration,68,0,0,0,17,0,4,0,4,0
Darts,hu.unideb.inf.darts,FXMLResults,228,0,4,0,42,0,7,0,5,0
Darts,hu.unideb.inf.darts,MainApp,32,0,0,0,10,0,3,0,3,0
Darts,hu.unideb.inf.darts,FXMLOptions,252,0,0,0,50,0,4,0,4,0
Darts,hu.unideb.inf.darts,Reader,152,0,4,0,29,0,5,0,3,0
Darts,hu.unideb.inf.darts,FXMLLogin,116,0,2,0,28,0,5,0,4,0
Darts,hu.unideb.inf.darts,Writer,368,0,12,0,62,0,9,0,3,0
Darts,hu.unideb.inf.darts,FXMLGameOnScene,2728,0,126,0,521,0,129,0,66,0
Darts,hu.unideb.inf.darts,User,64,71,0,0,24,28,9,12,9,12
